timestamp,wave_height_m,wave_period_s,wave_direction_deg,wind_speed_ms,wind_direction_deg,temperature_c,location
2026-04-05T00:00:00,2.55,12.5,270,8.3,271,26.5,"Bondi Beach, Australia"
2026-04-05T01:00:00,2.5,11.1,206,8.2,261,24.4,"Bondi Beach, Australia"
2026-04-05T02:00:00,0.68,8.7,234,14.4,206,24.6,"Bondi Beach, Australia"
2026-04-05T03:00:00,1.22,10.3,268,9.5,204,22.8,"Bondi Beach, Australia"
2026-04-05T04:00:00,2.05,12.3,184,21.4,239,24.6,"Bondi Beach, Australia"
2026-04-05T05:00:00,1.89,10.0,256,13.3,205,15.3,"Bondi Beach, Australia"
2026-04-05T06:00:00,2.89,10.8,243,12.5,228,17.2,"Bondi Beach, Australia"
2026-04-05T07:00:00,1.06,14.3,181,20.6,232,18.3,"Bondi Beach, Australia"
2026-04-05T08:00:00,2.92,11.1,213,7.4,212,27.5,"Bondi Beach, Australia"
2026-04-05T09:00:00,0.74,8.3,243,18.9,269,25.7,"Bondi Beach, Australia"
2026-04-05T10:00:00,1.92,12.6,257,13.9,253,28.0,"Bondi Beach, Australia"
2026-04-05T11:00:00,1.7,8.0,198,8.6,204,15.4,"Bondi Beach, Australia"
2026-04-05T12:00:00,1.07,14.5,198,9.6,238,27.6,"Bondi Beach, Australia"
2026-04-05T13:00:00,2.13,13.4,197,10.2,210,25.8,"Bondi Beach, Australia"
2026-04-05T14:00:00,3.47,12.6,230,11.3,236,20.2,"Bondi Beach, Australia"
2026-04-05T15:00:00,0.76,12.6,225,21.9,229,22.3,"Bondi Beach, Australia"
2026-04-05T16:00:00,1.63,13.4,265,8.0,200,15.7,"Bondi Beach, Australia"
2026-04-05T17:00:00,1.35,8.1,215,15.7,272,23.4,"Bondi Beach, Australia"
2026-04-05T18:00:00,2.42,14.1,258,14.9,251,16.3,"Bondi Beach, Australia"
2026-04-05T19:00:00,0.62,8.7,269,18.4,218,24.9,"Bondi Beach, Australia"
2026-04-05T20:00:00,2.43,13.8,242,15.2,248,25.4,"Bondi Beach, Australia"
2026-04-05T21:00:00,2.69,14.7,211,22.4,205,26.2,"Bondi Beach, Australia"
2026-04-05T22:00:00,1.42,9.8,219,23.3,205,21.1,"Bondi Beach, Australia"
2026-04-05T23:00:00,3.32,13.3,218,7.0,200,22.4,"Bondi Beach, Australia"
