timestamp,wave_height_m,wave_period_s,wave_direction_deg,wind_speed_ms,wind_direction_deg,temperature_c,location
2026-04-05T00:00:00,2.19,8.8,225,20.9,259,17.1,"Marina Beach, India"
2026-04-05T01:00:00,1.26,8.1,253,22.0,234,16.1,"Marina Beach, India"
2026-04-05T02:00:00,3.16,10.4,234,6.8,210,23.5,"Marina Beach, India"
2026-04-05T03:00:00,2.44,13.7,223,12.7,207,23.0,"Marina Beach, India"
2026-04-05T04:00:00,1.81,9.0,193,6.0,205,21.0,"Marina Beach, India"
2026-04-05T05:00:00,2.8,8.6,205,21.7,226,25.3,"Marina Beach, India"
2026-04-05T06:00:00,2.56,13.7,265,19.0,258,27.3,"Marina Beach, India"
2026-04-05T07:00:00,1.01,10.5,263,19.9,269,19.0,"Marina Beach, India"
2026-04-05T08:00:00,1.21,11.7,201,10.1,278,27.2,"Marina Beach, India"
2026-04-05T09:00:00,2.6,13.0,185,7.4,227,23.2,"Marina Beach, India"
2026-04-05T10:00:00,0.85,8.9,190,15.3,212,27.6,"Marina Beach, India"
2026-04-05T11:00:00,2.34,11.1,197,21.2,206,19.1,"Marina Beach, India"
2026-04-05T12:00:00,0.8,8.3,206,9.5,220,23.8,"Marina Beach, India"
2026-04-05T13:00:00,1.44,14.8,225,21.3,269,23.1,"Marina Beach, India"
2026-04-05T14:00:00,2.3,14.4,204,16.2,246,18.3,"Marina Beach, India"
2026-04-05T15:00:00,3.25,14.4,234,21.8,228,17.8,"Marina Beach, India"
2026-04-05T16:00:00,3.29,8.4,256,20.9,279,21.1,"Marina Beach, India"
2026-04-05T17:00:00,2.24,10.0,237,6.7,272,23.6,"Marina Beach, India"
2026-04-05T18:00:00,2.14,12.2,206,11.9,211,18.8,"Marina Beach, India"
2026-04-05T19:00:00,0.64,10.4,233,19.5,239,21.1,"Marina Beach, India"
2026-04-05T20:00:00,2.76,12.6,198,13.4,258,27.0,"Marina Beach, India"
2026-04-05T21:00:00,2.32,8.4,207,8.0,237,23.7,"Marina Beach, India"
2026-04-05T22:00:00,2.46,8.9,217,6.7,277,18.7,"Marina Beach, India"
2026-04-05T23:00:00,2.79,11.6,221,14.6,219,21.9,"Marina Beach, India"
